brand,name,old_price,new_price,store
Craftsman,Craftsman 320-Piece Mechanic's Tool Set,399.99,159.99,Sears
Craftsman,Craftsman 450-Piece Mechanic's Tool Set,549.99,229.99,Sears
Craftsman,Craftsman 115-Piece Mechanic Tool Set,199.99,69.99,Sears
Craftsman,Craftsman 230-Piece Mechanic's Tool Set,279.99,99.99,Sears
Craftsman,Craftsman 500-Piece Mechanic Tool Set,1599.99,809.99,Sears
Craftsman,Craftsman 165-Piece Mechanic Tool Set,219.99,71.99,Sears
Craftsman,"CRAFTSMAN Home Tool Kit / Mechanics Tools Kit, 57-Piece (CMMT99446)",169.00,97.69,eBuzz
Winado,"Winado 799 PCS Complete Tool Set Mechanics Wrenches Screwdriver Socket with Trolley Case, Auto Home Repair Kit",,118.99,Winado
Craftsman,Craftsman 270-Piece Mechanic Tool Set,499.99,219.99,Sears
FIRSTOFFER (Limited Sale)!!,FIRSTOFFER (Limited Sale)!! 9pcs Hose Clamp Clip Plier Set Swivel Jaw Flat Angled Band Auto Repair Tools Kit,65.50,55.60,Kiky Direct
DeWalt,"DeWalt 115-DWMT73801 Mechanics Tool Set, 108-Piece",,118.99,factory outlet inc
Stock Preferred,Stock Preferred Damaged Screw Extractor 1/4 Hex Shank 6PCS,28.99,18.99,Stock Preferred
DeWalt,"DeWalt DWMT73802 142-Pc. Mechanics Tool Kit, With Case - Quantity 1",,169.99,tradeCOzone
BESTBUY,BESTBUY New 5PCS Step Drill Bit Set 50 Sizes HSS COBALT Multiple Hole Step Drill Bit Set Mechanic Tool Set Accessory Kit,42.70,34.16,Kiky Direct
Crescent,Crescent CTK128C Crescent 3/8 In. Drive 12-Point Standard/Metric Mechanic & Automotive Tool Set (128-Piece) CTK128C,127.99,122.32,SIM Supply
Stock Preferred,Stock Preferred Pick and Hook Set Gasket Scraper Hose Removal Pry Pullers Tool Set 4in1,24.99,14.99,Stock Preferred
GearWrench,GearWrench KDT-83095 Auto Mechanic Tool Set,6725.90,2690.36,"UnbeatableSale.com, Inc."
Capri Tools,Capri Tools 107-Piece Electrical Terminal Assortment Set,23.28,18.62,Kiky Direct
GearWrench,GearWrench 165PC 1/4 3/8 1/2 MECHANICS TO,367.71,262.65,Vir Ventures
DeWalt,"DeWalt Stanley Tools 7515075 DWMT73807 Tool Accessory Kit, 0.25 x 0.375 in.",111.19,53.35,"UnbeatableSale.com, Inc."
Craftsman,Craftsman 94 pc. Easy-to-Read Mechanics Tool Set,79.99,71.99,Sears
Craftsman Evolv,Craftsman Evolv 55 pc. Mechanics Tool Set,29.99,26.99,Sears
Teng Tools,"Teng Tools 1,001 Piece Mixed Hand Tool Bundle (No Storage) - TCMM1001NTOOLS",,4715.99,Teng Tools
Milwaukee,Milwaukee Packout 106 Pcs 3/8 in and 1/4 in SAE/Metric Socket Set,795.99,775.99,Stock Preferred
MOB Peddinghaus,"MOB Peddinghaus 16 pc  6 pt 1/4"" Ratchet and Socket set with FusionBox",97.75,39.90,EuroPro Tools Connection
GearWrench,GearWrench KDT-83091 Career Builder Starter Set,6628.89,2683.18,"UnbeatableSale.com, Inc."
Apollo Precision Tools,Apollo Precision Tools Apollo Tools DT8422 144-Piece Household Tool Kit,128.28,91.63,KETTY MORE
Ingersoll Rand,Ingersoll Rand 101 Piece Tech Solutions Master Non-Slip Socket and Bit Set - 752024,199.99,179.99,ToolSmithDirect
Teng Tools,Teng Tools TCW707EV TOOLBOX MEGA BUNDLE 3 - 7 DRAWER ROLL CABINET INCLUDING TOOLS,,2499.99,Teng Tools
Teng Tools,Teng Tools 1001 Piece Mega Master Tool Kit - TCMM1001N,,4999.99,Teng Tools
GearWrench,GearWrench Mechanics Tool Set In 3 Drawer Storage Box 239 Piece,1419.99,1319.99,Stock Preferred
Powerbuilt,Powerbuilt 214 Piece Technician Tool Set - 642538,559.99,348.25,ToolSmithDirect
Milwaukee,"Milwaukee 2855P-20 M18 FUEL 18V 1/2"" Impact Wrench w/ Pin Detent - Bare Tool",349.59,303.99,Tekcom Shop USA
GearWrench,"Gearwrench 80942 Gearwrench Ratchet Set, 239 pc., 1/4in, 3/8in, 1/2in  80942",484.99,463.06,SIM Supply
MOB Peddinghaus,MOB Peddinghaus 9-Piece Fusion Box Tap Wrench Extractor Set,114.25,44.90,EuroPro Tools Connection
Teng Tools,"Teng Tools 28 Piece Plier, Combination Spanner, And Mixed Screwdriver Set - TED441T",,350.00,Teng Tools
MOB Peddinghaus,MOB Peddinghaus 38 pc Plumber's set with soft-side Fusion Case,497.85,214.90,EuroPro Tools Connection
Teng Tools,Teng Tools 1100 Piece Monster Mega Master Tool Kit - TCMONSTER02,,8999.99,Teng Tools
Stock Preferred,Stock Preferred 4 in 1 Ball Joint Press and U Joint Removal Tool Kit with 4x4 Adapters,82.99,72.99,Stock Preferred
Powerbuilt,Powerbuilt 12 Blade Valve Tappet Feeler Gauge - 648393,19.99,10.75,ToolSmithDirect
Hart,"HART 90-Piece 1/4 and 3/8-inch Mechanics Tool Set, Chrome Finish",133.44,95.32,JHON PETERS
Great Choice Products,"Great Choice Products Large Heavy Duty Universal Generator Cover 600D Waterproof 382830"" 5500-15000W",43.28,38.99,Tekcom Shop USA
Ullman Devices,Ullman Devices ullman 758-21X Retrieving Pneumatic Tool,49.94,26.18,"UnbeatableSale.com, Inc."
GCP Products,GCP Products Hot Water Hybrid Heat Kit - Easily Converts Any 6-Gallon Rv Lp Gas Water Heater To 120V Electricity To Conserve Pr?,167.23,147.99,Tekcom Shop USA
Teng Tools,Teng Tools Free Toolbox Mega Bundle 1 - TC806SV,,1263.99,Teng Tools
MOB Peddinghaus,"MOB Peddinghaus 21 pc 6 pt 1/2"" Ratchet and Socket set with FusionBox",166.25,67.50,EuroPro Tools Connection
Teng Tools,Teng Tools 491 Piece Mechanics General Tool Kit - TCMM491N,,2795.99,Teng Tools
MOB Peddinghaus,MOB Peddinghaus 38 Pc. Torque Wrench Limiter Set with Case,279.95,117.90,EuroPro Tools Connection
MOB Peddinghaus,MOB Peddinghaus 8-Piece Fusion Box Insulated Plyer & Screwdriver Tools,168.45,73.50,EuroPro Tools Connection
Stock Preferred,Stock Preferred Tail Pipe Expander Set/3 Pcs Red,66.99,56.99,Stock Preferred
Milwaukee,Milwaukee MXF500-1CP MX FUEL Cordless Lithium-Ion Sewer Drum Machine Kit,6273.99,4704.99,Tekcom Shop USA
Wera,WERA TOOLS LLC Wera Tools 05003535001 SAE 0.25 in. Drive Speed Ratchet Set - 41 Piece,493.33,203.50,"UnbeatableSale.com, Inc."
Powerbuilt,Powerbuilt 9 Blade Feeler Gauge And Ruler - 648514,19.99,7.12,ToolSmithDirect
Teng Tools,Teng Tools 1100 Piece Monster Mega Master Tool Kit - TCMONSTER02,,8999.99,Teng Tools
Stock Preferred,Stock Preferred Brake Line Flaring Tool Kit with Handle Red,54.99,44.99,Stock Preferred
Powerbuilt,Powerbuilt 261 Piece Technician Tool Set - 642539,1289.99,809.95,ToolSmithDirect
MOB Peddinghaus,MOB Peddinghaus 59-Piece Fusion Box Mechanics Tool Set,320.45,142.50,EuroPro Tools Connection
Powerbuilt,Powerbuilt 26 Blade Master Feeler Gauge Set - 648517,19.99,10.75,ToolSmithDirect
K&S,"K&S Precision Metals 9863 Round Brass Rod, 2mm Diameter X 300mm Long, 4 Pieces per Pack, Made in The USA",3.61,3.43,GrowKart
MOB Peddinghaus,"MOB Peddinghaus 33 pc 1/4"" and 1/2"" Socket and GDS Ratchet set with FusionBox",239.75,96.90,EuroPro Tools Connection
Stock Preferred,Stock Preferred 198 PCS Mechanics Kit,100.99,90.99,Stock Preferred
FIRSTBUY,"FIRSTBUY Car Emergency Kit, 99 in 1 Multifunctional Roadside Assistance Car Breakdown Kit",90.57,72.46,Kiky Direct
Irwin,"IRWIN Tools IMPACT Performance Series BOLT GRIP Deep Well Bolt Extractors, 3/8-inch Square Drive, 6-Piece Set with 1/4-inch",39.61,35.99,GrowKart
Stock Preferred,Stock Preferred Mechanics Tool Set Red 39 Pcs,42.99,32.99,Stock Preferred
Stock Preferred,Stock Preferred 8Pcs Auto Car A/C Tyre Tire Valve Core Remover Removal 2 Way Wrench Tool Key Set,33.99,23.99,Stock Preferred
Teng Tools,Teng Tools Free Toolbox Mega Bundle 3 - TC806SV,,1257.99,Teng Tools
MOB Peddinghaus,"MOB Peddinghaus 44-Piece Fusion Box 1/4"" and 1/2"" Mechanics Tool Set",241.95,106.90,EuroPro Tools Connection
MOB Peddinghaus,"MOB Peddinghaus 33 pc. 1/4"" 6 pt Socket and Ratchet set with Powerspin T-Handle",220.25,81.90,EuroPro Tools Connection
Great Choice Products,Great Choice Products Propane Torch Weed Burner Ice Snow Melter / Flame Dragon Wand Igniter W/ Hose,58.23,51.99,Tekcom Shop USA
Horizon Tool Inc,Horizon Tool Inc In-Line Flaring Tool Kit SAE,,46.26,"JLW Sales, Inc"
Great Choice Products,Great Choice Products Opening Repair Tool Set Magnetic Screwdriver Kit For Ps4 Ps3 Xbox One Controller,18.69,16.99,Tekcom Shop USA
Teng Tools,Teng Tools TCW707EV TOOLBOX MEGA BUNDLE 2 - 7 DRAWER ROLL CABINET INCLUDING TOOLS,,2499.99,Teng Tools
Teng Tools,Teng Tools Free Toolbox Mega Bundle 2 - TC806SV,,1211.99,Teng Tools
Teng Tools,Teng Tools 187 Piece Mechanics Tool Kit - TC187,,339.99,Teng Tools
Teng Tools,Teng Tools 12 Piece General Service Tool Set - TTEPS12,,275.00,Teng Tools
Teng Tools,Teng Tools 9 Piece Engineers General Service Tool Set - TTPS09E,,179.99,Teng Tools
MOB Peddinghaus,MOB Peddinghaus 30-Piece Fusion Box General Purpose Tool Set,383.45,169.90,EuroPro Tools Connection
Ingersoll Rand,Ingersoll Rand 68 Piece 3/8 Inch Drive SAE/Metric Master Mechanics Tool Set - 752018,159.99,143.99,ToolSmithDirect
MOB Peddinghaus,"MOB Peddinghaus 33 pc INCH/SAE 1/4"" and 1/2"" Socket and Ratchet set with FusionBox",252.95,103.50,EuroPro Tools Connection
MOB Peddinghaus,MOB Peddinghaus 17-Piece FusionBox Mechanics Tool Set,134.75,57.50,EuroPro Tools Connection
MOB Peddinghaus,MOB Peddinghaus 105-Piece Fusion Box Bit/Socket Screwdriver Set,127.95,53.90,EuroPro Tools Connection
MOB Peddinghaus,"MOB Peddinghaus 42 pc 1/4"" Socket and Reversible Ratchet set with FusionBox",117.95,46.90,EuroPro Tools Connection
TKM Products,"TKM Products Breaker Bar, 10-Inch With 3/8-Inch Drive(Cmmt44363)",45.99,42.99,Tekcom Shop USA
Milwaukee,Milwaukee Tool 48-22-2212 4 In. #2 Phillips 1000 Volt Insulated Screwdriver,46.61,41.99,Tekcom Shop USA
S & G Tool Aid,S & G Tool Aid WIND SHIELD REM. TOOL,51.11,34.07,Vir Ventures
Stock Preferred,Stock Preferred 33T Spline Hexagon Alternator Clutch Free Wheel Pulley Removal Installer Tool 2 Pieces,29.99,19.99,Stock Preferred
Stock Preferred,Stock Preferred Car Screwdriver Valve Stem Core Remover Tire Tube Installer Repair Tool Set 10 Pcs,29.99,19.99,Stock Preferred
Powerbuilt,Powerbuilt High Energy Spark Plug Guage - 648521,19.99,12.55,ToolSmithDirect
Teng Tools,Teng Tools 179 Piece Complete Mixed EVA Foam 7 Drawer Roller Cabinet Hand Tool Kit - TCMME179,,1901.99,Teng Tools
Great Choice Products,Great Choice Products 115V 11 Amp Variable Speed 4 In. X 36 In. Belt/ 9 In. Grinder New,1776.31,1455.99,Tekcom Shop USA
GCP Products,GCP Products 50-Amp Indoor Pre-Wired Upgradeable Manual Transfer Switch New,1432.27,1173.99,Tekcom Shop USA
Teng Tools,Teng Tools  PORTABLE CASE BUILD 110 Piece Kit -SC01,,799.99,Teng Tools
GCP Products,"GCP Products Rebar Cutter Rc-25 1700W 1"" 8# Electric Hydraulic Dedicated Bender 4-25Mm",636.64,534.99,Tekcom Shop USA
Irwin,Irwin hanson 48 PC MASTER EXTRACTOR SET,480.29,320.19,Vir Ventures
GCP Products,"GCP Products Diamond Concrete Grinding Discs For Husqvarna Redi-Lock, Set Of 3, Pcd Clockw...",322.04,284.99,Tekcom Shop USA
Teng Tools,Teng Tools 15 Piece General Service Tool And Punch Set - TTPS09-KIT1,,199.99,Teng Tools
GCP Products,"GCP Products Laser Measure Tool/Distance Meter, 100-Feet With Bluetooth (Dw099S)",180.79,159.99,Tekcom Shop USA
GCP Products,GCP Products 3 Panel Room Divider 5.5 Ft Tall Portable Indoor Folding Privacy Brown,160.64,152.99,Tekcom Shop USA
GCP Products,"GCP Products 4-Panel Folding Divider Room, 5 Ft Louvred Privacy Screen Panels, White/Grey",160.64,152.99,Tekcom Shop USA
TKM Industrial,TKM Industrial 9 Ton 6 Dies Hydraulic Knockout Punch Driver Kit Hand Pump Hole Tool Free Case TKMID182247,170.62,150.99,Tekcom Shop USA
CHICAGO PNEUMATIC TOOL llc,"CHICAGO PNEUMATIC TOOL llc Chicago Pneumatic SS8205WS 1"" Drive 5 Piece Wheel Service SAE & Metric Impact Socket Set",257.82,139.22,ErgodE
MOB Peddinghaus,MOB Peddinghaus 42-Piece Fusion Box Bit Socket Wrench Set with Torque Wrench Handle,291.95,128.50,EuroPro Tools Connection
STADEA,"STADEA 3/16"" Stone Diamond Router bit Granite Profile Wheel - for Hand Profiler Marble Demi Half Bullnose Radius B5 Edges Grinding",129.38,112.48,GrowKart
GCP Products,"GCP Products Max Punch Cutter For Stainless Steel, 3 1/2""",119.77,105.99,Tekcom Shop USA
DNA Motoring,dna motoring tools-00021 orange 220 pcs automotive/home repair box with tool set socket+hex key+screwdriver+ratchet,105.54,84.38,Mac Marvel's
DNA Motoring,dna motoring tools-00022 yellow 220 pcs handy automotive/mechanic's repair tool box socket+hex key+screwdriver+ratchet,98.90,79.07,Mac Marvel's
Great Choice Products,Great Choice Products Pocket Hole Jig Drill Guide System Kit Woodworking Carpentry Tool Screw Plug Set,87.35,77.99,Tekcom Shop USA
GCP Products,"GCP Products Knockout Punch Draw Studs, 3/4-Inch",83.99,74.99,Tekcom Shop USA
MOB Peddinghaus,"MOB Peddinghaus 23 pc 1/2"" GDS Ratchet & Socket set with FusionBox",161.45,68.50,EuroPro Tools Connection
MOB Peddinghaus,"MOB Peddinghaus 46 pc 6 pt 1/4"" Rotating Ratchet and Socket set with FusionBox",158.95,67.90,EuroPro Tools Connection
MOB Peddinghaus,"MOB Peddinghaus 21 pc 6 pt 1/2"" Ratchet and Socket set with FusionBox",159.35,67.50,EuroPro Tools Connection
MICRO 100,"Micro 100 IT-2301000 Micro 100 Threading Tool: 5/16 in Shank Dia., Bright (Uncoated), 0.0740 in Center to Cutting Tip  IT-230100",70.99,67.42,SIM Supply
GCP Products,"GCP Products Portable Propane Weed Torch Burner Ice Melter Push Button Igniter With 79"" Hose",63.83,56.99,Tekcom Shop USA
GCP Products,GCP Products Propane Torch Weed Burner Ice Snow Melter / Flame Dragon Wand Igniter Roofing Us,59.35,52.99,Tekcom Shop USA
Great Choice Products,"Great Choice Products Portable Propane Weed Torch Burner Ice Melter Push Button Igniter With 47"" Hose",58.23,51.99,Tekcom Shop USA
MARTIN SPROCKET & GEAR  INC.,"MARTIN SPROCKET & GEAR  INC. martin 30 angle service wrenches sae #1228, 7?8 "" opening, 6 5/16 "" long, 1 11?16 "" head diameter, 1?4 "" head thickness, chro",60.05,48.00,Mac Marvel's
Stock Preferred,Stock Preferred 86 PCS Hand Tool Mechanics Kit,56.99,46.99,Stock Preferred
GCP Products,"GCP Products 60"" 4Mode Truck Tailgate Led Strip Light Bar Reverse Brake Tail Stop Turn Signal",51.05,45.99,Tekcom Shop USA
GCP Products,"GCP Products Cable Lug Crimper Tool 6-50MmÂ² Wire Crimping Pliers Cutter 10,8,6,4,2,1/0 Awg",49.94,44.99,Tekcom Shop USA
